CustomerID,Age,Salary,Gender,City,Purchases
1,25,50000,Male,Hyderabad,5
2,30,60000,Female,Bangalore,7
3,,55000,Male,Chennai,6
4,45,120000,Male,,10
5,22,300000,Female,Delhi,2
6,35,,Female,Mumbai,8
7,29,58000,,Hyderabad,6
8,41,62000,Male,Bangalore,100
9,38,61000,Female,Chennai,7
10,27,52000,Male,Delhi,
11,33,59000,Female,Mumbai,6
12,120,70000,Male,Hyderabad,5
13,28,54000,Female,Bangalore,7
14,31,58000,Male,Chennai,6
15,26,,Female,Delhi,5
16,39,61000,Male,Mumbai,8
17,42,62000,Female,Hyderabad,9
18,,58000,Male,Bangalore,6
19,36,60000,Female,Chennai,7
20,29,57000,Male,Delhi,6
21,25,50000,Male,Hyderabad,5
22,34,61000,Female,Mumbai,7
23,37,62000,Male,Bangalore,8
24,40,63000,Female,Chennai,9
25,23,48000,Male,Delhi,4
26,32,59000,Female,Mumbai,6
27,28,56000,Male,Hyderabad,5
28,45,65000,Female,Bangalore,10
29,50,70000,Male,Chennai,11
30,27,53000,Female,Delhi,6
